Time (s),Channel 1 (V),TIME
-0.0504225,0.402607072529734,-0.000537500000000003
-0.05041,0.398854378555805,-0.000524999999999998
-0.0503975,0.376338214712231,-0.000512499999999999
-0.050385,0.372585520738302,-0.0005
-0.0503725,0.357574744842585,-0.000487500000000002
-0.05036,0.353822050868656,-0.000475000000000003
-0.0503475,0.350069356894723,-0.000462499999999998
-0.050335,0.342563968946868,-0.000449999999999999
-0.0503225,0.327553193051152,-0.0004375
-0.05031,0.320047805103294,-0.000425000000000002
-0.0502975,0.305037029207577,-0.000412500000000003
-0.050285,0.30503702920757,-0.000399999999999998
-0.0502725,0.290026253311861,-0.000387499999999999
-0.05026,0.278768171390073,-0.000375
-0.0502475,0.271262783442215,-0.000362500000000002
-0.050235,0.267510089468286,-0.000350000000000003
-0.0502225,0.248746619598642,-0.000337499999999998
-0.05021,0.252499313572569,-0.000324999999999999
-0.0501975,0.241241231650782,-0.0003125
-0.050185,0.244993925624711,-0.000300000000000002
-0.0501725,0.222477761781136,-0.000287500000000003
-0.05016,0.218725067807197,-0.000274999999999997
-0.0501475,0.196208903963633,-0.000262499999999999
-0.050135,0.184950822041845,-0.00025
-0.0501225,0.169940046146129,-0.000237500000000002
-0.05011,0.169940046146129,-0.000225000000000003
-0.0500975,0.158681964224333,-0.000212499999999997
-0.050085,0.139918494354696,-0.000199999999999999
-0.0500725,0.139918494354696,-0.0001875
-0.05006,0.143671188328625,-0.000175000000000002
-0.0500475,0.124907718458979,-0.000162500000000003
-0.050035,0.113649636537192,-0.000149999999999997
-0.0500225,0.113649636537192,-0.000137499999999999
-0.05001,0.0948861666675462,-0.000125
-0.0499975,0.0986388606414753,-0.000112500000000001
-0.049985,0.0723700028239714,-0.000100000000000003
-0.0499725,0.0648646148761046,-8.74999999999973E-05
-0.04996,0.0461011450064675,-7.49999999999987E-05
-0.0499475,0.0461011450064675,-0.0000625000000000001
-0.049935,0.0160795932150345,-5.00000000000014E-05
-0.0499225,0.0198322871889636,-3.75000000000028E-05
-0.04991,0.012326899241102,-2.49999999999972E-05
-0.0498975,0.00482151129324714,-1.24999999999986E-05
-0.049885,-0.00643657062854024,0
-0.0498725,-0.0101892646024694,1.24999999999986E-05
-0.04986,-0.0139419585763985,2.49999999999972E-05
-0.0498475,-0.0176946525503327,3.75000000000028E-05
-0.049835,-0.028952734472115,5.00000000000014E-05
-0.0498225,-0.0402108163939024,0.0000625000000000001
-0.04981,-0.0627269802374771,7.49999999999987E-05
-0.0497975,-0.0739850621592645,8.74999999999973E-05
-0.049785,-0.0777377561331988,0.000100000000000003
-0.0497725,-0.088995838054981,0.000112500000000001
-0.04976,-0.0927485320289101,0.000125
-0.0497475,-0.111512001898556,0.000137499999999999
-0.049735,-0.111512001898556,0.000149999999999997
-0.0497225,-0.12277008382035,0.000162500000000003
-0.04971,-0.13778085971606,0.000175000000000002
-0.0496975,-0.13778085971606,0.0001875
-0.049685,-0.152791635611776,0.000199999999999999
-0.0496725,-0.164049717533564,0.000212499999999997
-0.04966,-0.164049717533572,0.000225000000000003
-0.0496475,-0.182813187403209,0.000237500000000002
-0.049635,-0.190318575351067,0.00025
-0.0496225,-0.205329351246784,0.000262499999999999
-0.04961,-0.205329351246784,0.000274999999999997
-0.0495975,-0.220340127142494,0.000287499999999996
-0.049585,-0.2203401271425,0.000300000000000002
-0.0495725,-0.227845515090359,0.0003125
-0.04956,-0.242856290986075,0.000324999999999999
-0.0495475,-0.250361678933933,0.000337499999999998
-0.049535,-0.261619760855716,0.000349999999999996
-0.0495225,-0.272877842777508,0.000362500000000002
-0.04951,-0.272877842777508,0.000375
-0.0494975,-0.284135924699296,0.000387499999999999
-0.049485,-0.284135924699296,0.000399999999999998
-0.0494725,-0.302899394568933,0.000412499999999996
-0.04946,-0.325415558412516,0.000425000000000002
-0.0494475,-0.329168252386445,0.0004375
-0.049435,-0.344179028282162,0.000449999999999999
-0.0494225,-0.347931722256091,0.000462499999999998
-0.04941,-0.351684416230018,0.000474999999999996
-0.0493975,-0.366695192125736,0.000487500000000002
-0.049385,-0.374200580073595,0.0005
-0.0493725,-0.385458661995382,0.000512499999999999
-0.04936,-0.385458661995382,0.000524999999999998
-0.0493475,-0.396716743917164,0.000537499999999996
-0.049335,-0.404222131865028,0.000550000000000002
-0.0493225,-0.411727519812886,0.0005625
-0.04931,-0.419232907760744,0.000574999999999999
-0.0492975,-0.426738295708602,0.000587499999999998
-0.049285,-0.453007153526094,0.000599999999999996
-0.0492725,-0.453007153526106,0.000612500000000002
-0.04926,-0.468017929421823,0.000625000000000001
-0.0492475,-0.471770623395752,0.000637499999999999
-0.049235,-0.486781399291468,0.000649999999999998
-0.0492225,-0.490534093265396,0.000662499999999996
-0.04921,-0.501792175187185,0.000675000000000002
-0.0491975,-0.494286787239327,0.000687500000000001
-0.049185,-0.509297563135043,0.000699999999999999
-0.0491725,-0.520555645056831,0.000712499999999998
-0.04916,-0.524308339030758,0.000724999999999996
-0.0491475,-0.539319114926476,0.000737500000000002
-0.049135,-0.550577196848264,0.000750000000000001
-0.0491225,-0.558082584796122,0.000762499999999999
-0.04911,-0.569340666717909,0.000774999999999998
-0.0490975,-0.569340666717909,0.000787499999999997
-0.049085,-0.573093360691838,0.000800000000000002
-0.0490725,-0.595609524535413,0.000812500000000001
-0.04906,-0.599362218509342,0.000824999999999999
-0.0490475,-0.614372994405059,0.000837499999999998
-0.049035,-0.614372994405059,0.000849999999999997
-0.0490225,-0.636889158248633,0.000862500000000002
-0.04901,-0.629383770300775,0.000875000000000001
-0.0489975,-0.644394546196492,0.000887499999999999
-0.048985,-0.65189993414435,0.000899999999999998
-0.0489725,-0.659405322092205,0.000912499999999997
-0.04896,-0.674416097987925,0.000925000000000002
-0.0489475,-0.663158016066137,0.000937500000000001
-0.048935,-0.681921485935783,0.00095
-0.0489225,-0.6969322618315,0.000962499999999998
-0.04891,-0.704437649779358,0.000974999999999997
-0.0488975,-0.69317956785757,0.000987500000000002
-0.048885,-0.715695731701145,0.001
-0.0488725,-0.730706507596862,0.0010125
-0.04886,-0.719448425675074,0.001025
-0.0488475,-0.73821189554472,0.0010375
-0.048835,-0.753222671440436,0.00105
-0.0488225,-0.756975365414365,0.0010625
-0.04881,-0.771986141310082,0.001075
-0.0487975,-0.77949152925794,0.0010875
-0.048785,-0.794502305153657,0.0011
-0.0487725,-0.80951308104937,0.0011125
-0.04876,-0.802007693101515,0.001125
-0.0487475,-0.817018468997232,0.0011375
-0.048735,-0.828276550919019,0.00115
-0.0487225,-0.828276550919019,0.0011625
-0.04871,-0.843287326814739,0.001175
-0.0486975,-0.850792714762594,0.0011875
-0.048685,-0.862050796684381,0.0012
-0.0486725,-0.873308878606168,0.0012125
-0.04866,-0.873308878606168,0.001225
-0.0486475,-0.888319654501895,0.0012375
-0.048635,-0.91083581834546,0.00125
-0.0486225,-0.899577736423672,0.0012625
-0.04861,-0.914588512319389,0.001275
-0.0485975,-0.914588512319389,0.0012875
-0.048585,-0.918341206293321,0.0013
-0.0485725,-0.925846594241176,0.0013125
-0.04856,-0.937104676162964,0.001325
-0.0485475,-0.95211545205868,0.0013375
-0.048535,-0.959620840006538,0.00135
-0.0485225,-0.967126227954402,0.0013625
-0.04851,-0.978384309876184,0.001375
-0.0484975,-0.99714777974583,0.0013875
-0.048485,-1.00465316769369,0.0014
-0.0484725,-1.00465316769369,0.0014125
-0.04846,-1.01215855564155,0.001425
-0.0484475,-1.0196639435894,0.0014375
-0.048435,-1.03842741345905,0.00145
-0.0484225,-1.04593280140691,0.0014625
-0.04841,-1.05343818935477,0.001475
-0.0483975,-1.06094357730263,0.0014875
