time	V(out)	V(n003)
2.784809397678040e-002	-1.563946e+000	3.128549e-002
2.805735736963754e-002	-1.430918e+000	2.862417e-002
2.826662076249469e-002	-1.293254e+000	2.587011e-002
2.847588415535184e-002	-1.150954e+000	2.302331e-002
2.868514754820898e-002	-1.004018e+000	2.008377e-002
2.889441094106613e-002	-8.524459e-001	1.705150e-002
2.910367433392327e-002	-6.962378e-001	1.392649e-002
2.931293772678042e-002	-5.353935e-001	1.070874e-002
2.960590647678042e-002	-3.087467e-001	6.174604e-003
2.989887522678043e-002	-7.948631e-002	1.588197e-003
3.009418772678043e-002	7.384802e-002	-1.479281e-003
3.038715647678043e-002	3.031483e-001	-6.066456e-003
3.068012522678044e-002	5.298824e-001	-1.060228e-002
3.097309397678044e-002	7.521309e-001	-1.504835e-002
3.126606272678045e-002	9.680126e-001	-1.936703e-002
3.155903147678045e-002	1.175700e+000	-2.352177e-002
3.179619665535188e-002	1.338557e+000	-2.677967e-002
3.203336183392332e-002	1.492011e+000	-2.984948e-002
3.227052701249475e-002	1.636065e+000	-3.273120e-002
3.250769219106618e-002	1.770716e+000	-3.542482e-002
3.274485736963761e-002	1.895965e+000	-3.793035e-002
3.298202254820904e-002	2.011813e+000	-4.024778e-002
3.321918772678047e-002	2.118258e+000	-4.237713e-002
3.334427585178516e-002	2.168982e+000	-4.339033e-002
3.346936397678985e-002	2.216163e+000	-4.433317e-002
3.359445210179454e-002	2.259803e+000	-4.520564e-002
3.371954022679922e-002	2.299900e+000	-4.600774e-002
3.384462835180391e-002	2.336456e+000	-4.673948e-002
3.396971647680860e-002	2.369470e+000	-4.740085e-002
3.409480460181329e-002	2.398942e+000	-4.799185e-002
3.413540032337734e-002	2.405698e+000	-4.816690e-002
3.417599604494138e-002	2.411838e+000	-4.833405e-002
3.421659176650543e-002	2.417361e+000	-4.849331e-002
3.425718748806947e-002	2.422269e+000	-4.864467e-002
3.429778320963352e-002	2.426561e+000	-4.878814e-002
3.433837893119756e-002	2.430237e+000	-4.892372e-002
3.437897465276161e-002	2.433297e+000	-4.905141e-002
3.457428715276161e-002	2.445815e+000	-4.955349e-002
3.476959965276161e-002	2.452975e+000	-4.986908e-002
3.486725590276162e-002	2.454844e+000	-4.995653e-002
3.496491215276162e-002	2.455696e+000	-4.999696e-002
3.506256840276162e-002	2.455553e+000	-4.999034e-002
3.516022465276162e-002	2.454409e+000	-4.993667e-002
3.525788090276162e-002	2.452235e+000	-4.983600e-002
3.545319340276162e-002	2.444415e+000	-4.949409e-002
3.586847282412346e-002	2.405326e+000	-4.815049e-002
3.589418993347561e-002	2.400726e+000	-4.804005e-002
3.591990704282776e-002	2.395758e+000	-4.792649e-002
3.594562415217991e-002	2.390422e+000	-4.780981e-002
3.597134126153206e-002	2.384717e+000	-4.769002e-002
3.599705837088422e-002	2.378644e+000	-4.756711e-002
3.602277548023636e-002	2.372202e+000	-4.744108e-002
3.604849258958852e-002	2.365393e+000	-4.731193e-002
3.631087064838008e-002	2.288729e+000	-4.578146e-002
3.657324870717164e-002	2.198370e+000	-4.397626e-002
3.683562676596321e-002	2.094316e+000	-4.189635e-002
3.709800482475478e-002	1.976567e+000	-3.954171e-002
3.736038288354634e-002	1.845123e+000	-3.691235e-002
3.762276094233790e-002	1.699985e+000	-3.400827e-002
3.788513900112946e-002	1.541152e+000	-3.082947e-002
3.809440239398661e-002	1.406976e+000	-2.814520e-002
3.830366578684376e-002	1.268279e+000	-2.537045e-002
3.851292917970090e-002	1.125058e+000	-2.250524e-002
3.872219257255805e-002	9.773140e-001	-1.954955e-002
3.893145596541520e-002	8.250474e-001	-1.650338e-002
3.914071935827234e-002	6.682579e-001	-1.336674e-002
