Sample-#, CA-V, CA-I, CB-V, CB-I ,scaled,change,,,,
0.00023,0.999488354,-29.34912406,2.488236904,0.082138395,0.496078968,-0.000155926000000139,,,,
0.00024,0.999566495,-29.3413531,2.488236904,0.105558327,0.496078968,0,,,,
0.00025,0.999488354,-29.32581119,2.488158703,0.082138395,0.496052901,-0.000078201,,,,
0.00026,0.999488354,-29.34912406,2.488314867,0.14459154,0.496104955666667,0.000156164000000292,,,,
0.00027,0.999488354,-29.41129357,2.488471031,0.027491895,0.496157010333333,0.000156163999999848,,,,
0.00028,0.999488354,-29.32581119,2.488471031,0.089945039,0.496157010333333,0,,,,
0.00029,0.999566495,-29.39574979,2.488548994,0.113364971,0.496182998,7.79629999998477E-05,,,,
0.0003,0.999410152,-29.38020788,2.488314867,0.113364971,0.496104955666667,-0.000234126999999695,,,,
0.00031,0.999488354,-29.36466597,2.488158703,0.097751683,0.496052901,-0.000156164000000292,,,,
0.00032,0.999488354,-29.4579193,2.48808074,0.074331758,0.496026913333333,-7.79629999998477E-05,,,,
0.00033,0.999488354,-29.29472551,2.488236904,0.011878609,0.496078968,0.000156163999999848,,,,
0.00034,0.999488354,-29.43460643,2.48839283,0.160204829,0.496130943333333,0.000155926000000139,,,,
0.00035,0.999488354,-29.38797884,2.48839283,0.160204829,0.496130943333333,0,,,,
0.00036,0.999566495,-29.24809977,2.48839283,0.082138395,0.496130943333333,0,,,,
0.00037,0.999566495,-29.34912406,2.488314867,0.019685252,0.496104955666667,-7.79629999998477E-05,,,,
0.00038,0.999566495,-29.45014834,2.488314867,0.191431405,0.496104955666667,0,,,,
0.00039,0.999566495,-29.34912406,2.488314867,0.14459154,0.496104955666667,0,,,,
0.0004,0.999410152,-29.38797884,2.488314867,0.027491895,0.496104955666667,0,,,,
0.00041,0.999488354,-29.34912406,2.488314867,0.082138395,0.496104955666667,0,,,,
0.00042,0.999410152,-29.39574979,2.48839283,0.152398192,0.496130943333333,7.79629999998477E-05,,,,
0.00043,0.999488354,-29.41906452,2.488314867,0.121171615,0.496104955666667,-7.79629999998477E-05,,,,
0.00044,0.999488354,-29.38020788,2.488314867,0.097751683,0.496104955666667,0,,,,
0.00045,0.999410152,-29.25587073,2.488314867,0.066525114,0.496104955666667,0,,,,
0.00046,0.999488354,-29.37243693,2.488236904,0.128978252,0.496078968,-7.79630000002918E-05,,,,
0.00047,0.999488354,-29.28695455,2.488314867,0.175818117,0.496104955666667,7.79630000002918E-05,,,,
0.00048,0.999488354,-29.37243693,2.488314867,0.128978252,0.496104955666667,0,,,,
0.00049,0.999488354,-29.28695455,2.488471031,0.105558327,0.496157010333333,0.000156163999999848,,,,
0.0005,0.999488354,-29.30249646,2.488471031,0.160204829,0.496157010333333,0,,,,
0.00051,0.999488354,-29.37243693,2.488314867,0.043105181,0.496104955666667,-0.000156163999999848,,,,
0.00052,0.999488354,-29.31804024,2.488236904,0.121171615,0.496078968,-7.79630000002918E-05,,,,
0.00053,0.999488354,-29.3413531,2.488314867,0.097751683,0.496104955666667,7.79630000002918E-05,,,,
0.00054,0.999488354,-29.29472551,2.488314867,0.050911825,0.496104955666667,0,,,,
0.00055,0.999488354,-29.41129357,2.48839283,0.004071966,0.496130943333333,7.79629999998477E-05,,,,
0.00056,0.999566495,-29.32581119,2.48839283,0.16801148,0.496130943333333,0,,,,
0.00057,0.999488354,-29.41906452,2.488314867,0.136784904,0.496104955666667,-7.79629999998477E-05,,,,
0.00058,0.999488354,-29.3413531,2.488236904,0.14459154,0.496078968,-7.79630000002918E-05,,,,
0.00059,0.999488354,-29.35689501,2.488158703,0.113364971,0.496052901,-0.000078201,,,,
0.0006,0.999488354,-29.35689501,2.488314867,0.05871847,0.496104955666667,0.000156164000000292,,,,
0.00061,0.999566495,-29.34912406,2.48839283,0.113364971,0.496130943333333,7.79629999998477E-05,,,,
0.00062,0.999566495,-29.39574979,2.488314867,0.128978252,0.496104955666667,-7.79629999998477E-05,,,,
0.00063,0.999410152,-29.36466597,2.488236904,0.105558327,0.496078968,-7.79630000002918E-05,,,,
